,a,a+,a-,t0,t0+,t0-,beta_v,beta_v+,beta_v-,z,z+,z-
0,0.7902588721269826,0.8252296458226069,0.7552880984313584,0.37971041344134027,0.3895952278439152,0.36982559903876533,1.5412608124047553,1.6741001319255149,1.4084214928839958,0.27698419067443425,0.30851360305802544,0.24545477829084303
20,0.9432012494327123,0.9961211249056511,0.8902813739597736,0.4069612086757311,0.41485256989356994,0.39906984745789226,2.0835855186881607,2.26305878485276,1.904112252523561,0.3307088346457655,0.3639251782847785,0.2974924910067525
40,0.8963979020358795,0.9577515461820532,0.8350442578897059,0.37812847034998875,0.419446218138205,0.3368107225617725,1.8537280712185187,2.0130355181284902,1.6944206243085471,0.22966479501076195,0.2830558360237386,0.17627375399778525
60,0.8472961822088538,0.8927731410723148,0.8018192233453929,0.4136461559725994,0.4273788765809484,0.3999134353642504,1.866499931450827,2.027274620964552,1.705725241937102,0.2472940423869248,0.2865269021270501,0.2080611826467995
80,0.8886149045373659,0.9322639618228858,0.844965847251846,0.392163109646776,0.406493443372984,0.37783277592056796,1.7237739230710447,1.8702140136574084,1.577333832484681,0.17841350795452376,0.21361068841428502,0.1432163274947625
100,0.9324656580497829,0.9859232596549472,0.8790080564446185,0.3924761149520919,0.4158534609899818,0.36909876891420196,1.7509505202346756,1.887226303550008,1.614674736919343,0.19810709309751892,0.2354715818717756,0.16074260432326223
120,0.938876093447786,0.9837295381178338,0.8940226487777382,0.3889485583744143,0.40124981193237286,0.3766473048164557,1.7477687798257877,1.8873898142799008,1.6081477453716746,0.20454206789737375,0.23884855496608243,0.17023558082866508
140,0.9411358413167702,0.9987497890686401,0.8835218935649003,0.37424365391343795,0.4108069967906623,0.3376803110362136,1.6399681312768706,1.7770367264750553,1.5028995360786859,0.19597929973057493,0.23564559567542154,0.15631300378572832
160,0.9831780779888728,1.0305587179615148,0.9357974380162309,0.4048389017916281,0.4236677288909383,0.38601007469231796,1.7641933369587823,1.8924456757956194,1.6359409981219453,0.20507100477931423,0.23956878323501346,0.170573226323615
180,0.9614399547887673,1.0038812846116978,0.9189986249658367,0.4034261842842689,0.4155664054913494,0.39128596307718844,1.6560541303796874,1.785738580861781,1.5263696798975939,0.2015667096788987,0.2332796355155878,0.1698537838422096
200,0.9187935742284549,0.9524134848481677,0.8851736636087421,0.39380227824724956,0.41150689323967055,0.3760976632548286,1.5527723843367853,1.6699553562750804,1.4355894123984902,0.18352034507850595,0.22132150303051853,0.14571918712649337
220,0.9414407541174599,0.9807369519670062,0.9021445562679136,0.41409921553644896,0.4249460005142911,0.4032524305586068,1.5826292592416227,1.7020214634936677,1.4632370549895777,0.251069850798401,0.28731656943578043,0.21482313216102153
240,0.9454958374605743,0.9890705573218694,0.9019211175992792,0.4099573656694673,0.42579042119214033,0.3941243101467942,1.5548803128590638,1.670782354655591,1.4389782710625365,0.21765910297959765,0.25555781848928105,0.17976038746991424
260,0.9834312115992658,1.0301902772231701,0.9366721459753615,0.40043457445141606,0.4154089817835713,0.38546016711926084,1.5899422104251393,1.7163714241818626,1.463512996668416,0.21127537379101272,0.24778748746431073,0.1747632601177147
