estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
sample-hessian,0.01370935621865292,-0.5938054667125345,0.3502297441076279,-0.05777977014834407,-0.5938054667125343,0.0036621976684847735,-0.45227446953980077,0.6020309934877113,0.3502297441076279,-0.45227446953980094,0.09197392730270264,-0.634108100156435,-0.057779770148344116,0.6020309934877115,-0.634108100156435,0.030085353305627022
outer-product,0.014318118857949088,-0.6469277009986918,0.3090777343295028,-0.019699744496376317,-0.6469277009986917,0.0038489842191502047,-0.3661322013464183,0.48306429256165756,0.30907773432950275,-0.36613220134641833,0.09207909050131748,-0.6188412730908801,-0.019699744496376247,0.48306429256165756,-0.61884127309088,0.02755245259574916
misspecification-robust,0.013252431948979581,-0.5433949704674041,0.3865518842781053,-0.09083769931784252,-0.5433949704674036,0.003586996858855075,-0.5350117641819233,0.7061460942225047,0.38655188427810516,-0.5350117641819235,0.0923989613212006,-0.6544205773981527,-0.0908376993178425,0.7061460942225048,-0.6544205773981528,0.03294389072509493
autocorrelation-robust,0.01323959288465006,-0.5795718020712124,0.46259067543445576,-0.18467314331351,-0.5795718020712122,0.0037041285896515525,-0.5484062898562175,0.7245972965845415,0.4625906754344559,-0.5484062898562178,0.10093849049504741,-0.6530050056149321,-0.18467314331351,0.7245972965845418,-0.6530050056149321,0.033760958103638584
sample-hessian,0.014392850678155893,-0.543292974487345,0.3340856181249739,0.03273447311071328,-0.5432929744873451,0.003449438985061,-0.44629323910456153,0.5817677502888811,0.3340856181249736,-0.4462932391045615,0.09457439510724525,-0.6217648230219387,0.03273447311071351,0.581767750288881,-0.6217648230219383,0.03074710463691523
outer-product,0.013843957022850724,-0.5186559819239072,0.3613960423822749,0.042189600318956286,-0.5186559819239073,0.0028446604828472584,-0.46236883909220017,0.5703774755688701,0.3613960423822751,-0.4623688390922004,0.09452005908019351,-0.6181869467753252,0.042189600318956244,0.5703774755688703,-0.618186946775325,0.029714106313684836
misspecification-robust,0.015202673262530447,-0.5852390431017512,0.32029727168621797,-0.006833417043116505,-0.5852390431017515,0.004229821789316959,-0.45084168745972336,0.6114249330631537,0.3202972716862173,-0.4508416874597231,0.09530966891111586,-0.6320805485586479,-0.006833417043116378,0.6114249330631537,-0.6320805485586475,0.03228969372486455
autocorrelation-robust,0.015052361716781596,-0.5804807398565253,0.25479836477796436,0.05424992244555454,-0.5804807398565253,0.004209618750257521,-0.45813023519134943,0.5879493594562607,0.2547983647779634,-0.45813023519134943,0.09640835768592208,-0.656810788578245,0.054249922445554793,0.5879493594562609,-0.6568107885782445,0.033953647620145196
sample-hessian,0.013889297943554323,-0.5808023261365511,0.3639214933318057,-0.05619421680532182,-0.5808023261365515,0.003618949428508127,-0.47490847735779884,0.6223543377844367,0.3639214933318058,-0.47490847735779856,0.09657556611602132,-0.6463415306424277,-0.05619421680532215,0.6223543377844366,-0.646341530642428,0.031582321748745056
outer-product,0.014132540357823617,-0.5255361575858427,0.2815806467441013,0.0022465775029148205,-0.5255361575858426,0.003964150226012612,-0.4829414156594098,0.6701882645886033,0.28158064674410144,-0.4829414156594097,0.09731772985066824,-0.6596673028644183,0.002246577502914888,0.6701882645886031,-0.6596673028644184,0.03525735352139594
