,n,method,estimate,param,runtime,bias,sd,rmse
0,500,mle,param,a,0.9237604832649231,0.00440197779902842,0.02361797494873399,0.0240246987332238
1,500,mle,param,t0,0.9237604832649231,0.0005294864143051775,0.005405061887168338,0.005430934529807326
2,500,mle,param,v,0.9237604832649231,-0.005126383957139225,0.13029667281869622,0.13039747988400083
3,500,mle,param,z,0.9237604832649231,0.0038518455419294805,0.0400320460933049,0.04021692962541234
4,500,mle,unc,a,0.9237604832649231,-0.003001298110103194,0.0019634686786966817,0.003586502418503561
5,500,mle,unc,t0,0.9237604832649231,-9.316000036402262e-05,0.0005520626386271562,0.0005598677903182168
6,500,mle,unc,v,0.9237604832649231,0.005167353808774523,0.004550618942772187,0.006885468622205291
7,500,mle,unc,z,0.9237604832649231,0.00465041521811888,0.0023964264150876805,0.005231560117578854
8,500,mcmc,param,a,39.85578835964203,0.008210000000000004,0.02501211506450425,0.026325083095785295
9,500,mcmc,param,t0,39.85578835964203,-0.0009400000000000008,0.005668897600063003,0.005746303159423461
10,500,mcmc,param,v,39.85578835964203,0.050120000000000026,0.13475023413708787,0.14376939869109837
11,500,mcmc,param,z,39.85578835964203,-0.006520000000000001,0.039277087468395644,0.039814570197353655
12,500,mcmc,unc,a,39.85578835964203,-0.003352115064504254,0.0023715817506466032,0.004106223983865997
13,500,mcmc,unc,t0,39.85578835964203,1.1023999369973603e-06,0.0006333245613427606,0.0006333255207913391
14,500,mcmc,unc,v,39.85578835964203,0.007009765862912144,0.006715832040782431,0.00970768857415854
15,500,mcmc,unc,z,39.85578835964203,0.0069829125316043595,0.0031196794707149,0.007648102210616512
16,1000,mle,param,a,1.840161898136139,0.0033426070267379114,0.014776883117722303,0.015150224302300744
17,1000,mle,param,t0,1.840161898136139,-0.00014127903962791622,0.0037836487310484294,0.0037862854471107407
18,1000,mle,param,v,1.840161898136139,0.020549588378803708,0.10053472915116617,0.10261343648877866
19,1000,mle,param,z,1.840161898136139,-0.00029505862724606694,0.032394106550016386,0.032395450278817337
20,1000,mle,unc,a,1.840161898136139,-0.00025460936625944745,0.0007931815637703996,0.0008330443700621799
21,1000,mle,unc,t0,1.840161898136139,-6.753546970063752e-05,0.00023750765331312523,0.00024692291317330884
22,1000,mle,unc,v,1.840161898136139,-0.004797056066986174,0.00230677901891526,0.005322872941552947
23,1000,mle,unc,z,1.840161898136139,-0.0010522852322414158,0.0011155440151763905,0.0015335392592917966
24,1000,mcmc,param,a,62.77464899301529,0.0052100000000000046,0.01540343792794324,0.01626068879229907
25,1000,mcmc,param,t0,62.77464899301529,-0.001010000000000001,0.0038587433187502926,0.003988734135035829
26,1000,mcmc,param,v,62.77464899301529,0.08032000000000003,0.10151619378207598,0.1294482135836567
27,1000,mcmc,param,z,62.77464899301529,-0.010400000000000005,0.03163795189325632,0.033303453274397855
28,1000,mcmc,unc,a,62.77464899301529,-0.00032343792794324117,0.0009765244492586967,0.0010286943633714622
29,1000,mcmc,unc,t0,62.77464899301529,0.00011125668124970717,0.0002215851980616034,0.0002479476741627135
30,1000,mcmc,unc,v,62.77464899301529,-0.0003261937820759779,0.0036679558339761916,0.0036824315857141216
31,1000,mcmc,unc,z,62.77464899301529,0.0010220481067436784,0.0015761979571107193,0.0018785585784048208
32,5000,mle,param,a,20.971023893356325,0.0004580606365818241,0.0068195609800274035,0.006834927322737096
33,5000,mle,param,t0,20.971023893356325,9.110499799931337e-05,0.0016082165589858548,0.0016107950276980489
34,5000,mle,param,v,20.971023893356325,-0.0019483874962735869,0.04075235238002132,0.04079890241588693
35,5000,mle,param,z,20.971023893356325,0.0005696643864931276,0.012895732771141977,0.012908308999165763
36,5000,mle,unc,a,20.971023893356325,-0.0004484631030482186,0.0001635489482757976,0.00047735459909563745
37,5000,mle,unc,t0,20.971023893356325,2.7308685509744076e-05,5.157665615488629e-05,5.836022416329015e-05
38,5000,mle,unc,v,20.971023893356325,0.0018378063748091388,0.0004539258731201841,0.0018930348569366152
39,5000,mle,unc,z,20.971023893356325,0.001046903684743699,0.00023475929653007544,0.0010729022567024598
40,5000,mcmc,param,a,314.30618347406386,0.0008400000000000008,0.00713543271287734,0.007184705978674433
41,5000,mcmc,param,t0,314.30618347406386,-0.00033000000000000027,0.0016374064858794238,0.0016703293088490081
