,a,a+,a-,beta_v,beta_v+,beta_v-,t0,t0+,t0-,z,z+,z-
0,0.7930974660090487,0.826904511812141,0.7592904202059565,1.3471284926880245,1.473437077437101,1.220819907938948,0.3721592983896786,0.39818122251403154,0.34613737426532565,0.27674923840680893,0.30601245061971294,0.24748602619390492
20,0.9112057866666228,0.9521013565150301,0.8703102168182154,1.7744377044544237,1.9247250153292401,1.6241503935796073,0.38687445738904336,0.39382579728730677,0.37992311749077995,0.32283463397410916,0.3497110802992193,0.295958187648999
40,0.8936089370666843,0.9327821480648524,0.8544357260685163,1.6725110184770435,1.7975199419906251,1.547502094963462,0.3694125979080428,0.38356156193531016,0.3552636338807755,0.2548726242865861,0.29056258407894253,0.21918266449422963
60,0.8402591891784283,0.8729348579412756,0.8075835204155811,1.5946344833252357,1.7245271676076657,1.4647417990428058,0.39448232566092123,0.4043241542432952,0.38464049707854725,0.2424142990331687,0.27405993200369533,0.21076866606264205
80,0.8856870419474213,0.920536543525751,0.8508375403690916,1.548929040704199,1.6717852546105143,1.4260728267978835,0.3801684238769684,0.3902666349098385,0.37007021284409836,0.2062026113113204,0.23840005555519792,0.17400516706744287
100,0.9198713024292264,0.95695809588206,0.8827845089763928,1.5278032042773666,1.6495684190215967,1.4060379895331365,0.38076876757506806,0.39531730250975655,0.36622023264037956,0.22620334297397274,0.25778136383131994,0.19462532211662556
120,0.8959803067083256,0.9285290828890814,0.8634315305275698,1.5099012941327372,1.6249708007518326,1.3948317875136418,0.3885529510549917,0.40015943046608116,0.37694647164390227,0.21969148415010972,0.24914146368294093,0.1902415046172785
140,0.9109605802329067,0.9520095854028232,0.8699115750629902,1.4495513568756555,1.5693737804501233,1.3297289333011877,0.3768863332581501,0.40242042817133916,0.351352238344961,0.20334859642051428,0.2376651359656649,0.16903205687536366
160,0.9497220967068093,0.9863756152778861,0.9130685781357325,1.548284359081889,1.6588238712154502,1.437744846948328,0.39999666688537605,0.41164450376269873,0.38834883000805337,0.21252446262367738,0.24309518953771228,0.1819537357096425
180,0.9207567460934702,0.9521781095150048,0.8893353826719357,1.4423574104217922,1.5560826062256354,1.328632214617949,0.4088468199334014,0.4182995567671207,0.39939408309968205,0.2330098971017026,0.26264978952465984,0.20337000467874536
