estimator,"a,a","a,t0","a,beta_v","a,z","t0,a","t0,t0","t0,beta_v","t0,z","beta_v,a","beta_v,t0","beta_v,beta_v","beta_v,z","z,a","z,t0","z,beta_v","z,z"
sample-hessian,0.012527528657062284,-0.5733235054503336,0.2929949018499599,-0.019250981483943903,-0.5733235054503333,0.003053434811808725,-0.28172090311017517,0.5128563516552472,0.29299490184995974,-0.28172090311017517,0.036912163697281127,-0.5535225981084141,-0.01925098148394358,0.5128563516552471,-0.553522598108414,0.02618103991636447
outer-product,0.013455599003624445,-0.6244200838612101,0.3388373955550491,-0.06824812957524802,-0.62442008386121,0.0034134969440492696,-0.31439078145449223,0.533086110158369,0.3388373955550491,-0.31439078145449223,0.03735895938960277,-0.5433226266428864,-0.06824812957524778,0.5330861101583689,-0.5433226266428864,0.02617055642984842
misspecification-robust,0.011722455536834332,-0.5189207680329622,0.24932928110205246,0.023502266637637013,-0.5189207680329613,0.0027356656209233795,-0.25358909324829,0.49825285686214954,0.24932928110205202,-0.2535890932482901,0.036597591868829125,-0.5665351941352973,0.02350226663763763,0.49825285686214954,-0.5665351941352972,0.02629591368195402
autocorrelation-robust,0.01167089118548726,-0.5248122662364096,0.3331023321497082,-0.07835443166347697,-0.5248122662364088,0.002809954788653712,-0.31146616823916595,0.5401737983445242,0.33310233214970786,-0.3114661682391661,0.03675210988548254,-0.5838490013820907,-0.07835443166347644,0.5401737983445241,-0.5838490013820904,0.02721381325527489
sample-hessian,0.011882194107858847,-0.5384741296191462,0.284669819617259,0.0029361265084872417,-0.5384741296191464,0.002705598506759626,-0.3052556243737714,0.536752041530168,0.28466981961725896,-0.30525562437377146,0.0379212847007731,-0.5552471227353908,0.0029361265084874217,0.536752041530168,-0.5552471227353907,0.026388811776602773
outer-product,0.012538245232711574,-0.5655967826279857,0.3064094427144899,-0.01935693540901272,-0.5655967826279856,0.002895273810633801,-0.3491503153896984,0.5710524330127685,0.3064094427144899,-0.3491503153896983,0.037004989232449347,-0.5636749287440322,-0.019356935409012812,0.5710524330127685,-0.5636749287440324,0.02757752224571658
misspecification-robust,0.011271112504841104,-0.5095507642248056,0.2661228907188036,0.022823603879784268,-0.5095507642248057,0.0025315157968489456,-0.26382591516878046,0.4997212724651823,0.26612289071880346,-0.2638259151687806,0.03899108989746986,-0.5505584439713114,0.022823603879784857,0.49972127246518233,-0.5505584439713112,0.02531270764144087
autocorrelation-robust,0.011090397431900994,-0.5326716656983752,0.24024427479223653,0.035098618867785064,-0.5326716656983753,0.0027552123241252635,-0.2646903430230791,0.5197203981447303,0.24024427479223628,-0.2646903430230792,0.03880439875398225,-0.5568666886805482,0.03509861886778538,0.5197203981447305,-0.5568666886805482,0.02616025029201135
sample-hessian,0.012221808430453136,-0.5435922104222888,0.28984971617010047,-0.0011630232211511235,-0.5435922104222887,0.0027945062095109012,-0.283393189807103,0.523602869906156,0.2898497161701003,-0.28339318980710304,0.03936316915356789,-0.5648694315200744,-0.0011630232211507828,0.5236028699061559,-0.5648694315200742,0.02680957378874512
outer-product,0.011492683856309202,-0.4399464434490207,0.20053751799518574,0.10427274053877776,-0.43994644344902084,0.002404947611695483,-0.2847464940987164,0.5485544000029672,0.20053751799518588,-0.28474649409871644,0.040392942077804694,-0.5805251175971882,0.10427274053877753,0.5485544000029672,-0.5805251175971883,0.028205871200710487
misspecification-robust,0.013201891102037377,-0.6328129071117023,0.37302478231022734,-0.11197227030402306,-0.6328129071117022,0.003282742675085363,-0.2950135166903576,0.5180267344341473,0.37302478231022673,-0.29501351669035747,0.03863085136652998,-0.5548127021308848,-0.11197227030402226,0.518026734434147,-0.5548127021308844,0.025672735846031393
autocorrelation-robust,0.013730678357812436,-0.6010478931608343,0.42406559897992707,-0.04026953790662232,-0.6010478931608343,0.0033034583591909587,-0.3968209118425059,0.5521038288164233,0.42406559897992674,-0.39682091184250595,0.03963346809248683,-0.545271921323038,-0.04026953790662174,0.5521038288164232,-0.5452719213230373,0.027801153367656678
sample-hessian,0.013056299776434693,-0.559471408008111,0.2940718399648289,-0.0003538261458805726,-0.5594714080081117,0.003019408038365642,-0.2918757405771457,0.5370058567157722,0.29407183996482855,-0.2918757405771453,0.03967644122660246,-0.5613024235586207,-0.000353826145880819,0.5370058567157721,-0.5613024235586208,0.02722045479790013
outer-product,0.013351890959038538,-0.6052763794416123,0.3217604033796952,-0.07412433420554647,-0.6052763794416121,0.0033880501132906864,-0.3157746005474608,0.5722487834376494,0.32176040337969514,-0.3157746005474608,0.041510242726125156,-0.5695224015611193,-0.07412433420554604,0.5722487834376492,-0.5695224015611193,0.027358979259192208
misspecification-robust,0.012864164591905073,-0.5159282639966073,0.26960586747467424,0.06368975614282037,-0.5159282639966086,0.0026955869608609588,-0.27173157214079224,0.5078049167829215,0.26960586747467374,-0.27173157214079147,0.038037204642204586,-0.5568006371856817,0.06368975614281984,0.5078049167829217,-0.5568006371856818,0.027278369180777085
autocorrelation-robust,0.013868261442038282,-0.5970554272800368,0.3085452825532038,0.07239709169529052,-0.5970554272800381,0.0027323886851233037,-0.35423364436623617,0.4646112882287461,0.3085452825532031,-0.3542336443662353,0.03894254447269509,-0.577915589366782,0.07239709169529013,0.4646112882287459,-0.5779155893667823,0.02722848084829341
sample-hessian,0.013654619373087479,-0.5860178596772041,0.31540032541256086,-0.021355039796876175,-0.5860178596772039,0.0031781551943914806,-0.263231460977494,0.5062991324537143,0.3154003254125606,-0.26323146097749384,0.04041326342653746,-0.564171360254604,-0.0213550397968758,0.5062991324537139,-0.564171360254604,0.02734656736554519
outer-product,0.014499549731525613,-0.6320774644813477,0.24343621799197743,-0.024392148344143567,-0.6320774644813477,0.003534619705586502,-0.21545426024418293,0.5019077151052121,0.2434362179919776,-0.21545426024418304,0.03826906839165156,-0.5484819329506071,-0.0243921483441437,0.5019077151052124,-0.5484819329506071,0.027345883966065052
misspecification-robust,0.013010160722017753,-0.5427189637037622,0.3874424694856363,-0.02980235772736627,-0.5427189637037616,0.0028727827031143844,-0.31409393062063645,0.5167608069226334,0.38744246948563593,-0.3140939306206363,0.042717785598099196,-0.579684404951495,-0.0298023577273657,0.5167608069226333,-0.5796844049514952,0.027434698912535346
