estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
sample-hessian,0.015445701150046709,-0.5390186941656274,0.3207343693550953,0.02572308615146199,-0.5390186941656273,0.0038336641028562934,-0.49733055919404984,0.6333301466077738,0.3207343693550952,-0.4973305591940498,0.10653389327258506,-0.6555579003197857,0.025723086151462,0.6333301466077738,-0.6555579003197857,0.03432187338185413
outer-product,0.015436334506548728,-0.5748714673911761,0.3621630810327835,-0.025513765733734362,-0.5748714673911761,0.0038752346848943647,-0.5018169578875676,0.6244930150707786,0.36216308103278344,-0.5018169578875677,0.10840027071204379,-0.662161624464491,-0.025513765733734223,0.6244930150707787,-0.662161624464491,0.03325556188546861
misspecification-robust,0.01548403265382297,-0.5005951652933924,0.27725653590711685,0.07645171192377966,-0.5005951652933922,0.0037994917428777544,-0.49368537155308284,0.6432524584518615,0.2772565359071167,-0.49368537155308273,0.10480792335382394,-0.6507614696411825,0.07645171192377975,0.6432524584518614,-0.6507614696411824,0.03548651629178631
autocorrelation-robust,0.015193311995368407,-0.5273838369697754,0.23201049139150903,0.018981853072600603,-0.5273838369697749,0.003855186267012179,-0.4978306745949414,0.6735786295363916,0.23201049139150864,-0.4978306745949411,0.10724711417617784,-0.68080307280393,0.018981853072600873,0.6735786295363917,-0.6808030728039302,0.03539751905850734
sample-hessian,0.018281965123395024,-0.531187505723927,0.36382524874490213,0.052643872453195684,-0.5311875057239277,0.004386399407075639,-0.5407518292612453,0.6450010578824872,0.3638252487449023,-0.5407518292612453,0.10833500212352418,-0.6528435790196251,0.05264387245319528,0.6450010578824873,-0.6528435790196251,0.03653508663264126
outer-product,0.01806846206360987,-0.4252274110085631,0.286339496591448,0.1169090287596399,-0.4252274110085631,0.0045121825493498755,-0.5914387617342814,0.7129915279703943,0.286339496591448,-0.5914387617342814,0.1155793792395294,-0.6970863302164495,0.11690902875964,0.7129915279703943,-0.6970863302164496,0.04256294000888931
misspecification-robust,0.01858363190310148,-0.6187320792282893,0.4300863319865306,-0.008974484320612236,-0.6187320792282901,0.004352908876529011,-0.4986629646473036,0.5777035111815957,0.4300863319865305,-0.49866296464730353,0.10265519776856347,-0.6106709211908449,-0.008974484320613164,0.5777035111815964,-0.6106709211908454,0.031420557938528035
autocorrelation-robust,0.019531489722789078,-0.6041044047117977,0.42661993859137604,0.012758124614149484,-0.6041044047117989,0.004414367787286742,-0.5434975384276913,0.5805337678638236,0.4266199385913765,-0.5434975384276919,0.10858612369400135,-0.6449705066053731,0.012758124614148634,0.5805337678638243,-0.6449705066053731,0.03346741885133003
sample-hessian,0.018188359651322455,-0.5512007962183549,0.37957920681687424,0.004770880885336772,-0.5512007962183552,0.004755549361473521,-0.5583627098908703,0.6761114186356882,0.37957920681687485,-0.5583627098908703,0.1079014964316719,-0.6629501914389783,0.004770880885336072,0.6761114186356885,-0.6629501914389786,0.037953025177004066
outer-product,0.018890868915495844,-0.6449045815775694,0.4490793715140014,-0.1000277551930203,-0.6449045815775692,0.005168261490891803,-0.5536062811893998,0.6461721265301219,0.44907937151400146,-0.5536062811893998,0.11399357625842757,-0.6776895893143539,-0.10002775519302022,0.6461721265301219,-0.6776895893143539,0.035558250681573096
misspecification-robust,0.017751361946862505,-0.44293130789308655,0.30209323828000045,0.10295679991111123,-0.4429313078930868,0.004469134179754458,-0.5703062749983898,0.7166832203890927,0.30209323828000195,-0.5703062749983899,0.1027897600812472,-0.6589456718148163,0.10295679991110972,0.716683220389093,-0.6589456718148168,0.04088002123684796
autocorrelation-robust,0.017285678622220434,-0.42723351025662776,0.17850084720081935,0.17626921288488825,-0.427233510256628,0.004336849715605544,-0.5254645017752356,0.6601551768882291,0.17850084720082068,-0.5254645017752361,0.10109372222296115,-0.6865137176267575,0.1762692128848871,0.6601551768882294,-0.6865137176267578,0.041339954580150225
sample-hessian,0.014301927810340826,-0.6361555812510311,0.3891178504301423,-0.11859109418272853,-0.6361555812510312,0.00398742166802859,-0.45077200783498106,0.6002425895210856,0.3891178504301422,-0.4507720078349813,0.10018809592833539,-0.6483967614689488,-0.11859109418272837,0.6002425895210857,-0.6483967614689488,0.03144873313364368
outer-product,0.013487833824935952,-0.5509897078725873,0.3428015137122664,-0.06369054776329822,-0.5509897078725872,0.003687593258732539,-0.4894324584168129,0.6431157489841449,0.3428015137122666,-0.48943245841681293,0.11185305668150324,-0.699333588836589,-0.06369054776329833,0.643115748984145,-0.6993335888365889,0.03506026474472509
misspecification-robust,0.01531039306322807,-0.7087151252010571,0.44145418907687434,-0.18455255550067282,-0.7087151252010577,0.004390940380367295,-0.4366100251078323,0.577891570987577,0.4414541890768744,-0.43661002510783276,0.09059980655554568,-0.5968383900929624,-0.1845525555006728,0.5778915709875774,-0.5968383900929627,0.028499219915132313
autocorrelation-robust,0.014435049612553218,-0.6917316259622407,0.385617186046215,-0.134084101490007,-0.691731625962241,0.004127690204743096,-0.39926420598821843,0.5433371068328607,0.38561718604621464,-0.3992642059882187,0.09436228417981636,-0.6243014541129087,-0.13408410149000688,0.543337106832861,-0.624301454112909,0.028528704210665327
sample-hessian,0.01456508618211888,-0.6124526204107401,0.3442564451114528,-0.060749364421893125,-0.61245262041074,0.003888571283453668,-0.456340915949976,0.6063995825890242,0.3442564451114529,-0.4563409159499763,0.09984519177389493,-0.6455109278772769,-0.0607493644218932,0.6063995825890243,-0.6455109278772768,0.03185223306429655
outer-product,0.015034881342334067,-0.6904866369909445,0.4293632178558701,-0.16276667081843052,-0.6904866369909444,0.004282303616356212,-0.4530924719970301,0.5537480334815051,0.42936321785587017,-0.4530924719970302,0.10747838792195548,-0.671030070291167,-0.16276667081843066,0.5537480334815053,-0.6710300702911671,0.02965287717656932
misspecification-robust,0.014368019144989608,-0.5219611579932317,0.24818617871211793,0.035734765891597436,-0.5219611579932314,0.0036367099027015304,-0.4652019441087739,0.6663951563890408,0.24818617871211784,-0.46520194410877436,0.09340015867670065,-0.6342795252655484,0.03573476589159732,0.6663951563890412,-0.6342795252655484,0.03464827603687479
autocorrelation-robust,0.013161312141013052,-0.5075881313030136,0.31976703533652606,-0.0050241806963249236,-0.5075881313030135,0.003396607990599598,-0.45181144759960346,0.6627807737363108,0.319767035336526,-0.4518114475996038,0.09542822909277589,-0.6307441655284096,-0.005024180696324895,0.6627807737363107,-0.6307441655284092,0.032546578637304154
sample-hessian,0.015532938715890345,-0.54748857080064,0.3455298835608747,-0.005826365385013153,-0.5474885708006397,0.003903735350898208,-0.5177463789454233,0.6515301582922997,0.3455298835608746,-0.5177463789454232,0.1051766320594353,-0.6640695974382786,-0.005826365385012938,0.6515301582922994,-0.6640695974382788,0.0344992656639349
outer-product,0.015390721779771844,-0.4477629830462332,0.25603429206762335,0.07106789409989576,-0.44776298304623297,0.004236237624515685,-0.5464385906973791,0.7087289090362632,0.25603429206762307,-0.5464385906973791,0.11226018497898882,-0.6980507050871948,0.0710678940998963,0.708728909036263,-0.6980507050871946,0.0399817850365924
misspecification-robust,0.015723973154948077,-0.6334930103697454,0.4254343596953154,-0.0827391764405561,-0.6334930103697448,0.0036524384296532345,-0.500452286898465,0.5942534763058535,0.4254343596953151,-0.5004522868984648,0.09971683476850736,-0.6354446854907836,-0.08273917644055569,0.594253476305853,-0.6354446854907834,0.030038914037779346
autocorrelation-robust,0.015691208274289915,-0.6158724312605272,0.4238113904047777,-0.05216628774323995,-0.6158724312605268,0.0034156106294865743,-0.4497663385394537,0.5607445170332009,0.4238113904047773,-0.4497663385394534,0.09492204134028515,-0.5984036346622387,-0.052166287743239795,0.5607445170332013,-0.5984036346622391,0.02913608699636383
sample-hessian,0.01582334501879811,-0.5654399457660222,0.35924937039637755,-0.016591687161074484,-0.5654399457660219,0.004108776921209244,-0.4950648526637945,0.6283141533854906,0.35924937039637783,-0.4950648526637947,0.10384049262339812,-0.6566211911486837,-0.016591687161074682,0.6283141533854907,-0.6566211911486837,0.03389197303837172
outer-product,0.01518899467824856,-0.45590269573205683,0.30708362906514297,0.04340561599226858,-0.4559026957320572,0.003907609582498372,-0.5566095587652687,0.7016172761943527,0.3070836290651432,-0.5566095587652687,0.11032375572663475,-0.6967706542123925,0.04340561599226819,0.7016172761943527,-0.6967706542123926,0.03875292198800798
