estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
sample-hessian,0.010435636020754523,-0.49669140973003384,0.18668368074176636,0.057468680867314666,-0.4966914097300337,0.0026790210599200413,-0.3252126029891399,0.4944485094398418,0.18668368074176614,-0.3252126029891398,0.080456795774713,-0.595562041996169,0.057468680867314756,0.4944485094398418,-0.5955620419961691,0.025612946490512448
outer-product,0.010655024115002075,-0.5607328457303846,0.29819247660343956,-0.02756525756165107,-0.5607328457303843,0.0024143838242883,-0.3436653182333808,0.4600307036987387,0.29819247660343945,-0.3436653182333808,0.07435360899110216,-0.5539997305015485,-0.02756525756165079,0.4600307036987386,-0.5539997305015482,0.02334513612732996
misspecification-robust,0.010293907132988323,-0.4343166002876648,0.0732703067166856,0.13720781192224987,-0.43431660028766456,0.003005238918205137,-0.32153981960929834,0.5345382491272055,0.07327030671668505,-0.32153981960929806,0.0880542029899795,-0.6394896850689377,0.13720781192225015,0.5345382491272054,-0.6394896850689377,0.0284902490019551
autocorrelation-robust,0.009993625875984579,-0.43103985534298606,0.09581732018875955,0.05193005494268587,-0.4310398553429854,0.0029544525916257946,-0.310609010252389,0.5520275374617991,0.09581732018875892,-0.31060901025238874,0.08797072942121108,-0.6416129865940501,0.05193005494268607,0.5520275374617993,-0.6416129865940504,0.028992473687418658
sample-hessian,0.010143886850060332,-0.49097970921922207,0.14545305425379268,0.13790310280858642,-0.49097970921922246,0.0023325684297920996,-0.2558226347211049,0.39353151270890985,0.1454530542537925,-0.25582263472110467,0.08025084183784918,-0.5647659044016233,0.13790310280858656,0.39353151270890957,-0.5647659044016232,0.023887061466097727
outer-product,0.009860254693854093,-0.6145871921412754,0.3314671909493262,0.13207756297491702,-0.6145871921412756,0.001631037661414153,-0.14470484430776412,-0.1416613880104151,0.3314671909493261,-0.14470484430776415,0.07168709539598384,-0.46151805361123094,0.1320775629749171,-0.14166138801041514,-0.4615180536112309,0.019469255710437772
misspecification-robust,0.010670889437495756,-0.3769212292404611,-0.012041090732399451,0.08046751812430772,-0.37692122924046184,0.0038564450766981543,-0.46065717878449486,0.7622201828761065,-0.012041090732399463,-0.46065717878449464,0.098986200125528,-0.7011641551238237,0.0804675181243077,0.7622201828761062,-0.7011641551238235,0.03675073933978109
autocorrelation-robust,0.011255713535051592,-0.423004180189565,0.012166724695014685,0.07749826280193071,-0.42300418018956554,0.0039033120554796087,-0.5078792530440671,0.7514202039382475,0.012166724695014494,-0.5078792530440669,0.1033992431586856,-0.721097947723737,0.0774982628019307,0.7514202039382472,-0.7210979477237367,0.03833867741590275
sample-hessian,0.010253986670848394,-0.4786847333702467,0.18632938892589412,0.05244324900495863,-0.4786847333702465,0.002584943475426283,-0.36095178553058943,0.5428111457174665,0.18632938892589387,-0.36095178553058943,0.08370963660822581,-0.6074578260961881,0.05244324900495878,0.5428111457174665,-0.607457826096188,0.02639502874231157
outer-product,0.010423016299926298,-0.5451115460566968,0.33417476010301433,-0.10740928397622104,-0.5451115460566972,0.0028379047923437085,-0.4456165460649838,0.6354966697479018,0.33417476010301433,-0.44561654606498374,0.07969993849796313,-0.6005412498460834,-0.1074092839762211,0.6354966697479018,-0.6005412498460834,0.02703386859142062
misspecification-robust,0.010236485483220044,-0.4127250934147796,0.03715723227534536,0.21287158615098029,-0.41272509341477903,0.0023655773999775817,-0.28037358884239155,0.44034253815352825,0.037157232275344974,-0.2803735888423916,0.08945279742879575,-0.630953213964622,0.21287158615098048,0.44034253815352814,-0.6309532139646218,0.026370762343880465
autocorrelation-robust,0.010285989690591283,-0.3473655050136567,0.04828167029390561,0.2618086481817912,-0.3473655050136566,0.0021831515261687105,-0.2513809016869959,0.45430715434577507,0.048281670293905316,-0.2513809016869959,0.08662582204934796,-0.5636624284271439,0.2618086481817914,0.4543071543457747,-0.5636624284271438,0.026651189861098223
